,f0_hz,loudness_db,f0_confidence
0,32.376503,-90.73398,0.073138334
1,32.34055,-89.28965,0.2597912
2,32.454727,-87.99123,0.26647
3,32.425285,-86.87962,0.28185236
4,32.388504,-85.868355,0.23013148
5,32.333473,-84.99599,0.23232143
6,32.591255,-84.28502,0.07799874
7,32.637375,-83.640915,0.07260773
8,32.927086,-83.13462,0.036741443
9,32.5063,-82.72052,0.14404571
10,32.51665,-82.38312,0.12385071
11,32.509026,-82.1508,0.112222634
12,32.482807,-82.01487,0.100903705
13,32.477802,-81.89927,0.08489576
14,32.50119,-81.89062,0.07512705
15,32.51328,-81.874886,0.06587125
16,32.52993,-81.87752,0.071162134
17,32.535057,-81.901924,0.08856842
18,32.528725,-81.86297,0.10303536
19,32.50083,-81.838104,0.11022004
20,32.517883,-81.83089,0.2730069
21,32.447792,-81.74753,0.31730822
22,33.950127,-81.73773,0.30980515
23,37.11263,-81.77027,0.35551494
24,41.266617,-81.747734,0.35188898
25,46.20573,-81.781975,0.25718042
26,49.39048,-81.85097,0.21054517
27,49.35175,-81.89499,0.10204724
28,49.503376,-81.88815,0.13035508
29,49.643597,-81.84862,0.12996614
30,50.400524,-81.82515,0.10774556
31,50.517532,-81.7761,0.06657289
32,50.985283,-81.78537,0.044136815
33,50.9449,-81.838104,0.10020031
34,51.034836,-81.74958,0.10670979
35,50.83535,-81.68199,0.26480705
36,50.196106,-81.67112,0.207506
37,49.846718,-81.67986,0.25332177
38,49.515057,-81.70668,0.36415982
39,49.767796,-81.68681,0.4438068
40,50.21067,-81.64698,0.5296649
41,50.288902,-81.638,0.4644938
42,50.537228,-81.60959,0.3106856
43,50.67072,-81.61039,0.45354864
44,50.71973,-81.58124,0.4037863
45,50.774258,-81.6089,0.56395483
46,50.682774,-81.522194,0.3814177
47,50.45424,-81.446625,0.35362723
48,50.28547,-81.444084,0.420913
49,49.949512,-81.51428,0.44830042
50,49.85543,-81.59862,0.47975355
51,49.53185,-81.73081,0.42697114
52,49.324413,-81.92354,0.3378069
53,49.281208,-82.06508,0.3360647
54,49.29685,-82.10542,0.29387602
55,49.5508,-82.15929,0.57068926
56,49.725185,-82.28616,0.53578776
57,50.195656,-82.34529,0.4390129
58,50.45643,-82.34043,0.37983695
59,50.597,-82.21411,0.38442752
60,50.72967,-82.20108,0.48226377
61,50.76398,-82.197136,0.47996205
62,50.848682,-82.24691,0.41934988
63,50.750885,-82.27671,0.3245886
64,50.305676,-82.255455,0.21070743
65,49.81368,-82.235405,0.19912879
66,49.422615,-82.27943,0.23947445
67,49.575363,-82.348076,0.35091352
68,49.81796,-82.35844,0.51527184
69,50.060173,-82.31756,0.48294652
70,50.281624,-82.26773,0.5887896
71,50.25485,-82.21674,0.5647188
72,50.47608,-82.182076,0.49095878
73,50.825844,-82.134125,0.51266867
74,50.917217,-81.992226,0.4592162
75,51.01152,-81.89658,0.30643
76,51.208622,-81.79699,0.22281067
77,47.279995,-81.70155,0.12794648
78,40.931953,-81.64487,0.28805244
79,35.670803,-81.63141,0.19757326
80,32.82123,-81.57771,0.13286123
81,32.995537,-81.547104,0.079015814
82,33.36206,-81.477936,0.034426387
83,33.967487,-81.40433,0.36748675
84,34.159477,-81.254875,0.33358413
85,34.407406,-81.07304,0.5653158
