,f0_hz,loudness_db,f0_confidence
0,32.391228,-119.98362,0.11307323
1,32.454697,-119.98362,0.15554258
2,32.446632,-119.98362,0.13377696
3,32.416603,-119.98362,0.12613353
4,32.421642,-119.98362,0.087001175
5,32.444973,-119.98362,0.06270543
6,32.510384,-119.98362,0.03554374
7,32.489895,-116.397835,0.12760615
8,32.53326,-109.43411,0.11747843
9,32.51762,-104.61319,0.096289665
10,32.523758,-101.720634,0.098297834
11,32.514244,-99.57142,0.084472746
12,32.53032,-94.6731,0.0715684
13,32.544075,-90.29454,0.07683748
14,32.58485,-87.15312,0.0944227
15,32.59749,-84.924034,0.103598565
16,32.63477,-83.488945,0.10359123
17,32.682423,-82.63116,0.08080518
18,32.645824,-82.25096,0.15169448
19,32.59011,-81.959465,0.016585946
20,33.31074,-81.90745,0.045456618
21,35.874645,-81.71919,0.0382075
22,39.274006,-81.73196,0.029640794
23,42.95723,-81.72711,0.017884046
24,46.19201,-81.79199,0.010625333
25,51.107685,-81.807945,0.0061911345
26,54.612057,-81.74755,0.004524797
27,54.856575,-81.76016,0.009067386
28,55.05569,-81.652275,0.01153031
29,55.04181,-81.59555,0.021380395
30,55.133602,-81.74024,0.016464382
31,54.71356,-81.97234,0.03790763
32,55.202717,-82.21566,0.1830295
33,54.78469,-82.19173,0.19385037
34,54.504597,-81.94884,0.67709935
35,54.851433,-81.92906,0.8144453
36,54.605297,-81.852196,0.8167369
37,54.543392,-82.05236,0.6498931
38,54.666473,-82.25258,0.28042513
39,54.62656,-82.440506,0.18328539
40,54.90349,-82.438,0.081903815
41,54.760174,-82.41074,0.06049785
42,54.498985,-82.34642,0.05036065
43,54.087955,-82.34915,0.04963532
44,53.99938,-82.27028,0.09666285
45,53.912483,-82.087204,0.111635596
46,53.9215,-81.96607,0.07624185
47,53.512135,-81.97432,0.06641522
48,53.59725,-82.057785,0.02942881
49,54.141476,-81.97729,0.050252914
50,54.128967,-81.829895,0.075659364
51,54.629364,-81.84466,0.06838432
52,54.93451,-81.781204,0.03313124
53,55.45709,-81.775894,0.040697664
54,55.831738,-81.79962,0.08054063
55,55.828453,-81.63629,0.05759135
56,55.776104,-81.66483,0.08041805
57,55.394417,-81.65062,0.038496107
58,54.68601,-81.711006,0.030130953
59,54.074165,-81.89612,0.039345056
60,53.68018,-81.7966,0.04790452
61,53.614017,-81.5393,0.051372796
62,53.65347,-81.62561,0.06263244
63,54.388947,-81.89397,0.054940462
64,54.660683,-82.062294,0.10124731
65,54.63994,-82.024765,0.13695398
66,54.62481,-81.93414,0.100863755
67,54.862698,-82.06644,0.124120474
68,54.86864,-82.118004,0.108106196
69,50.449368,-82.106705,0.040479153
70,44.057983,-81.92571,0.028917193
71,39.434246,-81.8166,0.023416042
72,35.949604,-81.781784,0.053964257
73,36.001118,-81.79007,0.13771015
74,36.173702,-81.77844,0.058264047
75,37.49654,-81.82398,0.04408437
76,37.728523,-81.64908,0.08165538
77,37.717167,-81.630714,0.15171787
78,37.670918,-81.720825,0.1804766
79,37.639378,-81.96192,0.048692286
80,37.736156,-81.95823,0.0270378
81,36.173717,-82.0145,0.064549774
82,34.059345,-81.876114,0.10118729
83,34.136147,-81.799255,0.06668857
84,34.186554,-81.79561,0.057121128
85,34.222294,-81.764015,0.099942714
86,34.281948,-81.63069,0.07537371
87,32.531906,-81.591515,0.124545366
88,32.460464,-81.660324,0.15199691
89,32.416332,-81.83539,0.16786584
90,33.034256,-81.85787,0.036832094
